,Channel,Positive count,Neutral count,Negative count,Sentiment
0,1m88,7,4,6,-4
1,An Phương,23,8,28,92
2,Blingbabi,8,1,6,1
3,Call me Duy,14,4,27,6
4,Changmakeup,7,4,6,-3
5,Chloe Nguyen,8,1,6,1
6,Góc của Rư,6,3,11,-13
7,Ha Linh official,149,5,159,613
8,Luna Đào Official,38,5,22,43
9,Mai Vân Trang,4,1,2,7
10,Nguyen Thuc Thuy Tien,15,2,3,82
11,Q U I N,0,0,1,-1
12,Rosie Pham,9,0,4,5
13,✨ Gau Zoan ✨,1,0,2,-1
