,Channel,Positive count,Neutral count,Negative count,Sentiment
0,AnhEm TV,9,1,12,-21
1,Công Nghệ Lõi,82,29,75,348
2,Duy Luân Dễ Thương,42,24,26,2
3,Duy Thẩm,41,22,68,-768
4,Khôi Ngọng,5,2,6,-2
5,Lee Tùn Zân - Review Và Tặng Lại,52,23,58,-5
6,MobileCity,0,6,7,-26
7,Relab,20,30,43,-49
8,Tinh Tế,5,3,3,3
9,Tony Phùng Studio,15,12,23,-3
10,Tuấn Ngọc đây!,2,1,6,-4
11,Tân Một Cú,6,4,6,0
12,Vinh Xô ,19,52,48,-132
13,Vật Vờ Studio,24,22,37,-32
14,ĐAM MÊ CÔNG NGHỆ,51,81,77,-73
